ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,dist_sma200_dec,atr_pct_dec,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm,wait_days_key
GOOG,2020-12-22,2021-04-29,2,2020-12-24,39.74,4.89,8.1219,40.99,0.1662,0.0182,0.018222615650029153,-0.0001349273594793282,0.08087034812421125,0.005483003870307937,0.16615100946163971,0.005855466787750924,47.241384182162165,4.066632152212172,0.23782582755570186,-0.3782742007268873,0.012103477589795086,0.005048666696158127,-0.020858233522613366,0.010527474146201726,-0.0066240947001728065,0.0014795620878443978,2
GOOG,2021-05-12,2021-09-01,2,2021-05-14,25.93,3.17,8.1871,30.27,0.2594,0.0242,0.024230048671300495,-0.0004713875200862208,0.09136843992475294,-0.0006121910831504984,0.2593600921767621,0.03673919379724405,52.69919456240672,9.853499875594139,0.898949245023095,-0.28704318423459874,0.04724187617793657,0.030231462451105147,-0.007646823651055507,0.03335928984195944,-0.008253222460522833,0.0002228380179163207,2
GOOG,2023-07-10,2023-09-14,2,2023-07-12,16.19,4.91,3.299,18.93,0.1611,0.0237,0.023723935874906305,-0.0003687724527065145,0.08179204096945239,0.0026476158188459414,0.16105630233588025,0.024665231934898613,47.536345076530765,7.570543608381421,0.9246733823371607,-0.4505355478152884,-0.0022778525285788807,0.019552825224509816,-0.015181451864681731,0.026541704901872857,-0.004922334538559304,0.0010536658545898898,2
GOOG,2023-12-04,2024-01-29,2,2023-12-06,17.81,3.8,4.6848,18.53,0.0762,0.0207,0.02065091293572986,0.0002563041083770076,0.08715729446175627,-0.00047091329530386805,0.07616961303715865,0.0031600359325206356,42.35718686368217,2.790243599898062,0.8501523696738491,-0.40635626282820625,-0.024166159006693572,0.0056228504326148385,-0.029908138471416358,0.005915522028392975,-0.005610670588451332,-0.0010931243707901573,2
GOOG,2024-03-06,2024-04-26,2,2024-03-08,27.44,3.15,8.7028,31.03,0.0165,0.0224,0.022417525470614652,-0.0010483854439166836,0.15363349019471487,-0.0025359427175416227,0.016499075945930555,0.026992867496001327,41.52780616993729,8.878986323947117,1.0782613650006205,0.11366878686773518,-0.04946219405905792,0.02781776215021326,-0.03375366501155644,0.03383823378404527,-0.0055237988850560475,0.0038786947890172493,2
GOOG,2024-04-30,2024-07-10,2,2024-05-02,14.5,3.33,4.3521,17.15,0.2019,0.0299,0.029872707106782668,-0.0004458277699745383,0.12276654675304002,0.0026596315604233284,0.20188965118198157,0.023685933300773676,62.9457050052025,3.7976447993258944,0.762359242181513,-0.5562232798146197,0.11675167055118964,0.018334391279795817,0.05109130772443726,0.015525113339642606,0.003047894608798625,-0.0005610709647441443,2
GOOG,2024-11-22,2025-02-04,2,2024-11-26,21.88,4.27,5.1242,24.84,0.0314,0.0244,0.024441964028823638,-0.0018816049473650912,0.11592436719089391,-0.004043709902710038,0.03139954999791573,0.02320754678749344,47.03618794268413,6.0264241667524985,0.7089337517723344,-0.41775697996953354,0.006568543069709801,0.02147760900877737,-0.02798066182710501,0.02291868550491998,-0.008739168430878522,1.3232257933390099e-05,2
GOOG,2025-10-10,2025-11-11,2,2025-10-14,18.5,2.21,8.3721,22.84,0.3008,0.0238,0.023759817477440187,0.0006114664602415998,0.06782057559302151,-0.004777291802288114,0.30082605662733863,0.042694008065892186,57.351076064180134,10.966574368180112,0.8845526278188389,-0.17291391521270705,0.07736930583424004,0.028389080049862514,-0.004323342012546571,0.03757855101049844,-0.008022042663972903,0.0028671315899809653,2
GOOG,2025-11-14,2025-11-25,2,2025-11-18,13.57,1.03,13.2128,16.85,0.433,0.0334,0.03341118585788899,0.003218974180578687,0.1584122565315546,-0.029702476455932325,0.4329758566396639,0.034374344196622,61.28613631358204,5.309019306548265,1.3107957882881789,0.459735020817592,0.09699311223978456,0.022741816204860238,0.026437091757408902,0.01744102977435593,-0.003561847053170354,-0.0001903987281421022,2
GOOG,2025-12-17,2026-02-02,2,2025-12-19,11.76,4.24,2.7723,15.71,0.449,0.0253,0.025335190102768825,-0.0014286354521211783,0.09588215058559091,-0.03791613916261832,0.4489738539568623,0.040789573799619616,54.02846729017714,8.385392613400924,1.5976787699458632,0.5898809026272747,0.07146129218737832,0.02756718189950569,-0.01673040013895408,0.029088343468532934,-0.010579342255009892,0.0015705811065884357,2
